2025-07-07 17:13:59.978 [main] INFO  generationz.zlog.ZLogApplication - Starting ZLogApplication using Java 17.0.14 with PID 57542 (/Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log/target/classes started by skippy in /Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log)
2025-07-07 17:13:59.979 [main] DEBUG generationz.zlog.ZLogApplication - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-07-07 17:13:59.980 [main] INFO  generationz.zlog.ZLogApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-07 17:14:00.459 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-07 17:14:00.464 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-07 17:14:00.465 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-07 17:14:00.465 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-07 17:14:00.486 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-07 17:14:00.486 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 488 ms
2025-07-07 17:14:00.795 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2025-07-07 17:14:00.825 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-07-07 17:14:00.932 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-07 17:14:00.935 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-07 17:14:00.940 [main] INFO  generationz.zlog.ZLogApplication - Started ZLogApplication in 1.261 seconds (process running for 1.547)
2025-07-07 17:14:09.887 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-07 17:14:09.911 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-07 17:14:32.218 [main] INFO  generationz.zlog.ZLogApplication - Starting ZLogApplication using Java 17.0.14 with PID 58011 (/Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log/target/classes started by skippy in /Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log)
2025-07-07 17:14:32.220 [main] DEBUG generationz.zlog.ZLogApplication - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-07-07 17:14:32.220 [main] INFO  generationz.zlog.ZLogApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-07 17:14:32.708 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-07 17:14:32.713 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-07 17:14:32.714 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-07 17:14:32.714 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-07 17:14:32.733 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-07 17:14:32.733 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 496 ms
