2025-07-08 07:30:33.846 [main] INFO  generationz.zlog.ZLogApplication - Starting ZLogApplication using Java 17.0.14 with PID 105 (/Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log/target/classes started by skippy in /Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log)
2025-07-08 07:30:33.848 [main] DEBUG generationz.zlog.ZLogApplication - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-07-08 07:30:33.848 [main] INFO  generationz.zlog.ZLogApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-08 07:30:34.413 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-08 07:30:34.419 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-08 07:30:34.420 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-08 07:30:34.420 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-08 07:30:34.441 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-08 07:30:34.441 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 569 ms
2025-07-08 07:30:34.819 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2025-07-08 07:30:34.858 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-07-08 07:30:34.969 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-08 07:30:34.973 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-08 07:30:34.978 [main] INFO  generationz.zlog.ZLogApplication - Started ZLogApplication in 1.508 seconds (process running for 1.893)
2025-07-08 07:30:40.500 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-08 07:30:40.515 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-08 07:34:07.444 [main] INFO  generationz.zlog.ZLogApplication - Starting ZLogApplication using Java 17.0.14 with PID 3953 (/Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log/target/classes started by skippy in /Users/skippy/Documents/GitHub/Generation-Z-Log/z-log-web/admin/z-log)
2025-07-08 07:34:07.445 [main] DEBUG generationz.zlog.ZLogApplication - Running with Spring Boot v3.5.3, Spring v6.2.8
2025-07-08 07:34:07.445 [main] INFO  generationz.zlog.ZLogApplication - No active profile set, falling back to 1 default profile: "default"
2025-07-08 07:34:08.149 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-07-08 07:34:08.158 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-07-08 07:34:08.158 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-08 07:34:08.159 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-07-08 07:34:08.182 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-08 07:34:08.182 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 721 ms
2025-07-08 07:34:08.686 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2025-07-08 07:34:08.702 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2025-07-08 07:34:08.754 [main] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-07-08 07:34:08.934 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-08 07:34:08.938 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-08 07:34:08.948 [main] INFO  generationz.zlog.ZLogApplication - Started ZLogApplication in 1.9 seconds (process running for 2.314)
2025-07-08 07:34:09.511 [RMI TCP Connection(4)-192.168.2.9] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-08 07:34:09.511 [RMI TCP Connection(4)-192.168.2.9] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-07-08 07:34:09.512 [RMI TCP Connection(4)-192.168.2.9] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-07-08 07:35:43.626 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
